id,citing,cited
oci:062402613116-06303431700,omid:br/062402613116,omid:br/06303431700
oci:06350138594-06802879982,omid:br/06350138594,omid:br/06802879982
oci:061903954642-06190486587,omid:br/061903954642,omid:br/06190486587
oci:06140894372-061102715111,omid:br/06140894372,omid:br/061102715111
oci:06802691392-061102025244,omid:br/06802691392,omid:br/061102025244
oci:062303999229-06210637815,omid:br/062303999229,omid:br/06210637815
oci:06804348032-06220697501,omid:br/06804348032,omid:br/06220697501
oci:06110518231-06802439423,omid:br/06110518231,omid:br/06802439423
oci:06190889420-06290150590,omid:br/06190889420,omid:br/06290150590
oci:06320136053-06240887666,omid:br/06320136053,omid:br/06240887666
oci:061202567846-06501721421,omid:br/061202567846,omid:br/06501721421
oci:06604350337-06403085468,omid:br/06604350337,omid:br/06403085468
oci:06350112585-06202318698,omid:br/06350112585,omid:br/06202318698
oci:061903961150-06203279654,omid:br/061903961150,omid:br/06203279654
oci:06410191139-06170228464,omid:br/06410191139,omid:br/06170228464
oci:06340104303-06101729737,omid:br/06340104303,omid:br/06101729737
oci:06204352969-06901127531,omid:br/06204352969,omid:br/06901127531
oci:06704334021-061201498329,omid:br/06704334021,omid:br/061201498329
oci:06460124422-06401747449,omid:br/06460124422,omid:br/06401747449
oci:061603911856-061302961775,omid:br/061603911856,omid:br/061302961775
oci:06350161796-06301315626,omid:br/06350161796,omid:br/06301315626
oci:06510159453-06101070761,omid:br/06510159453,omid:br/06101070761
oci:06440169808-06803190150,omid:br/06440169808,omid:br/06803190150
oci:06230413008-06703357478,omid:br/06230413008,omid:br/06703357478
oci:06350112924-06103014296,omid:br/06350112924,omid:br/06103014296
oci:061601511919-06180322525,omid:br/061601511919,omid:br/06180322525
oci:06110517981-06130985176,omid:br/06110517981,omid:br/06130985176
oci:06803065059-06140582846,omid:br/06803065059,omid:br/06140582846
oci:06104366140-061603448456,omid:br/06104366140,omid:br/061603448456
oci:06350148345-062202881087,omid:br/06350148345,omid:br/062202881087
oci:06804345539-06170568343,omid:br/06804345539,omid:br/06170568343
oci:06520157648-062202441308,omid:br/06520157648,omid:br/062202441308
oci:06110517541-06180680390,omid:br/06110517541,omid:br/06180680390
oci:06504350232-06501992948,omid:br/06504350232,omid:br/06501992948
oci:061803907532-06110913409,omid:br/061803907532,omid:br/06110913409
oci:06290134039-06101505488,omid:br/06290134039,omid:br/06101505488
oci:06320111595-06503517155,omid:br/06320111595,omid:br/06503517155
oci:062304011328-061802428340,omid:br/062304011328,omid:br/061802428340
oci:06290145710-061601389749,omid:br/06290145710,omid:br/061601389749
oci:06320154586-06260816044,omid:br/06320154586,omid:br/06260816044
oci:06504381822-062101037064,omid:br/06504381822,omid:br/062101037064
oci:06402699404-062301159553,omid:br/06402699404,omid:br/062301159553
oci:06490119035-06301582028,omid:br/06490119035,omid:br/06301582028
oci:06370168613-06401464716,omid:br/06370168613,omid:br/06401464716
oci:06604429233-061702680768,omid:br/06604429233,omid:br/061702680768
oci:06350164574-06190771034,omid:br/06350164574,omid:br/06190771034
oci:06330145767-06260553547,omid:br/06330145767,omid:br/06260553547
oci:06201992483-06503637477,omid:br/06201992483,omid:br/06503637477
oci:06340149951-06120762818,omid:br/06340149951,omid:br/06120762818
oci:06470152225-06503716743,omid:br/06470152225,omid:br/06503716743
oci:06480166715-061902650553,omid:br/06480166715,omid:br/061902650553
oci:06310121979-06102206905,omid:br/06310121979,omid:br/06102206905
oci:062503995075-06230931762,omid:br/062503995075,omid:br/06230931762
oci:06104382961-06801172011,omid:br/06104382961,omid:br/06801172011
oci:06490170513-06360139186,omid:br/06490170513,omid:br/06360139186
oci:061203910695-061201104594,omid:br/061203910695,omid:br/061201104594
oci:062201696186-06804338563,omid:br/062201696186,omid:br/06804338563
oci:06420154740-061703078703,omid:br/06420154740,omid:br/061703078703
oci:06104318820-06601016567,omid:br/06104318820,omid:br/06601016567
oci:06604356058-06601461401,omid:br/06604356058,omid:br/06601461401
oci:062403973100-06360105335,omid:br/062403973100,omid:br/06360105335
oci:06460173291-06701045955,omid:br/06460173291,omid:br/06701045955
oci:06280105814-062501224258,omid:br/06280105814,omid:br/062501224258
oci:06604347117-061601081929,omid:br/06604347117,omid:br/061601081929
oci:06510148600-06803456961,omid:br/06510148600,omid:br/06803456961
oci:06470142532-06130763935,omid:br/06470142532,omid:br/06130763935
oci:06290134851-062203502402,omid:br/06290134851,omid:br/062203502402
oci:06380119839-06301456377,omid:br/06380119839,omid:br/06301456377
oci:06460134470-062502151970,omid:br/06460134470,omid:br/062502151970
oci:06290147595-062503285372,omid:br/06290147595,omid:br/062503285372
oci:06260938838-06903864428,omid:br/06260938838,omid:br/06903864428
oci:06340161567-06160423605,omid:br/06340161567,omid:br/06160423605
oci:06420152176-06603147693,omid:br/06420152176,omid:br/06603147693
oci:06104402298-06802431421,omid:br/06104402298,omid:br/06802431421
oci:061103986560-062202117711,omid:br/061103986560,omid:br/062202117711
oci:06120439489-06260692882,omid:br/06120439489,omid:br/06260692882
oci:06904043858-06103059076,omid:br/06904043858,omid:br/06103059076
oci:061903920165-06402817975,omid:br/061903920165,omid:br/06402817975
oci:06310184062-06230968757,omid:br/06310184062,omid:br/06230968757
oci:06140431393-06804205002,omid:br/06140431393,omid:br/06804205002
oci:062303957169-06202770497,omid:br/062303957169,omid:br/06202770497
oci:06604447867-062401473077,omid:br/06604447867,omid:br/062401473077
oci:06902663476-06240242717,omid:br/06902663476,omid:br/06240242717
oci:06410143655-06802465087,omid:br/06410143655,omid:br/06802465087
oci:06602135856-06602135906,omid:br/06602135856,omid:br/06602135906
oci:06470152193-06102290824,omid:br/06470152193,omid:br/06102290824
oci:06520148749-06802596058,omid:br/06520148749,omid:br/06802596058
oci:06520181217-06420126581,omid:br/06520181217,omid:br/06420126581
oci:06460123551-06130487014,omid:br/06460123551,omid:br/06130487014
oci:06604334130-06203038979,omid:br/06604334130,omid:br/06203038979
oci:06360159140-06503485127,omid:br/06360159140,omid:br/06503485127
oci:06310140309-06803445157,omid:br/06310140309,omid:br/06803445157
oci:06704427417-06401533820,omid:br/06704427417,omid:br/06401533820
oci:06390118029-06170232987,omid:br/06390118029,omid:br/06170232987
oci:06290134300-061502053259,omid:br/06290134300,omid:br/061502053259
oci:06460134477-061801175194,omid:br/06460134477,omid:br/061801175194
oci:06103310012-061101012691,omid:br/06103310012,omid:br/061101012691
oci:06530112064-06150236438,omid:br/06530112064,omid:br/06150236438
oci:06701342501-06701412969,omid:br/06701342501,omid:br/06701412969
oci:062404008205-06501495894,omid:br/062404008205,omid:br/06501495894
oci:062403990352-06801422680,omid:br/062403990352,omid:br/06801422680
oci:06430119627-062201634494,omid:br/06430119627,omid:br/062201634494
oci:06420192497-062201391365,omid:br/06420192497,omid:br/062201391365
oci:06304386227-06160871832,omid:br/06304386227,omid:br/06160871832
oci:06204372242-06602994109,omid:br/06204372242,omid:br/06602994109
oci:06604429329-06260823747,omid:br/06604429329,omid:br/06260823747
oci:06330106986-06140539419,omid:br/06330106986,omid:br/06140539419
oci:06290147588-06260946029,omid:br/06290147588,omid:br/06260946029
oci:06110517969-06903525725,omid:br/06110517969,omid:br/06903525725
oci:062203983001-06170350828,omid:br/062203983001,omid:br/06170350828
oci:06330160219-061701631320,omid:br/06330160219,omid:br/061701631320
oci:06450129096-06802410514,omid:br/06450129096,omid:br/06802410514
oci:061503912702-06704037656,omid:br/061503912702,omid:br/06704037656
oci:06470131282-06303031754,omid:br/06470131282,omid:br/06303031754
oci:062404008739-06902218982,omid:br/062404008739,omid:br/06902218982
oci:061103949822-062601559679,omid:br/061103949822,omid:br/062601559679
oci:06301427615-06501850222,omid:br/06301427615,omid:br/06501850222
oci:061203850114-06401559516,omid:br/061203850114,omid:br/06401559516
oci:06490171348-06801296230,omid:br/06490171348,omid:br/06801296230
oci:06120595060-06170601294,omid:br/06120595060,omid:br/06170601294
oci:06104370587-06140900095,omid:br/06104370587,omid:br/06140900095
oci:062103513850-06804113164,omid:br/062103513850,omid:br/06804113164
oci:06290181620-06250760659,omid:br/06290181620,omid:br/06250760659
oci:06530190012-061402821730,omid:br/06530190012,omid:br/061402821730
oci:06304376498-06230657502,omid:br/06304376498,omid:br/06230657502
oci:061601410576-06902294461,omid:br/061601410576,omid:br/06902294461
oci:062401486650-061303508225,omid:br/062401486650,omid:br/061303508225
oci:06440102930-062102693849,omid:br/06440102930,omid:br/062102693849
oci:06270115662-061601147090,omid:br/06270115662,omid:br/061601147090
oci:06320183724-06802603375,omid:br/06320183724,omid:br/06802603375
oci:06130298889-06701705830,omid:br/06130298889,omid:br/06701705830
oci:06504430504-06903142970,omid:br/06504430504,omid:br/06903142970
oci:06470166185-06260366379,omid:br/06470166185,omid:br/06260366379
oci:061103986552-06803227728,omid:br/061103986552,omid:br/06803227728
oci:06310136822-06180733109,omid:br/06310136822,omid:br/06180733109
oci:06430164891-06103727298,omid:br/06430164891,omid:br/06103727298
oci:06410178692-06603277801,omid:br/06410178692,omid:br/06603277801
oci:06204328192-06701374142,omid:br/06204328192,omid:br/06701374142
oci:06804381846-062202839519,omid:br/06804381846,omid:br/062202839519
oci:062503966191-061801266913,omid:br/062503966191,omid:br/061801266913
oci:061203902437-06503494251,omid:br/061203902437,omid:br/06503494251
oci:06604367336-06250564008,omid:br/06604367336,omid:br/06250564008
oci:061203907604-06260308431,omid:br/061203907604,omid:br/06260308431
oci:06490117288-06303741008,omid:br/06490117288,omid:br/06303741008
oci:06520120685-06240960288,omid:br/06520120685,omid:br/06240960288
oci:06340167706-06802676386,omid:br/06340167706,omid:br/06802676386
oci:06310151634-06140831470,omid:br/06310151634,omid:br/06140831470
oci:06503965968-06150850560,omid:br/06503965968,omid:br/06150850560
oci:06203974150-06480127115,omid:br/06203974150,omid:br/06480127115
oci:061403901969-061802827094,omid:br/061403901969,omid:br/061802827094
oci:06404430099-06501491604,omid:br/06404430099,omid:br/06501491604
oci:062203981326-062603481756,omid:br/062203981326,omid:br/062603481756
