id,title,author,issue,volume,venue,page,pub_date,type,publisher,editor,omid,doi,pmid,other_id,pub_year,pub_month,pub_day
omid:br/06320153873 doi:10.7554/elife.82819,Transformer-based Deep Learning For Predicting Protein Properties In The Life Sciences,"Chandra, Abel Avitesh, Gratz, Regina, Lfstedt, Tommy, Tnnermann, Laura",,12.0,eLife,,2023-01-18,journal article,"eLife Sciences Publications, Ltd",,omid:br/06320153873,doi:10.7554/elife.82819,,,2023.0,1.0,18.0
omid:br/06320153748 doi:10.7554/elife.82885,Deep Learning-Driven Insights Into Super Protein Complexes For Outer Membrane Protein Biogenesis In Bacteria,"Gao, Mu, Nakajima An, Davi, Skolnick, Jeffrey",,11.0,eLife,,2022-12-28,journal article,"eLife Sciences Publications, Ltd",,omid:br/06320153748,doi:10.7554/elife.82885,,,2022.0,12.0,28.0
omid:br/06320153468 doi:10.1039/d2ay01640k,"A MALDI-MS-based Impact Assessment Of ZnO Nanoparticles, Nanorods And Quantum Dots On The Lipid Profile Of Bacterial Pathogens","Gopal, Judy, Hua, Pei-Yang, Muthu, Manikandan, Wu, Hui-Fen",1,15.0,Analytical Methods,87-98,2023,journal article,Royal Society Of Chemistry (Rsc),,omid:br/06320153468,doi:10.1039/d2ay01640k,,,2023.0,1.0,1.0
omid:br/06320153828 doi:10.7554/elife.82207,A Choline-Releasing Glycerophosphodiesterase Essential For Phosphatidylcholine Biosynthesis And Blood Stage Development In The Malaria Parasite,"Blackman, Michael J, Burda, Paul-Christian, Calvani, Enrica, Collinson, Lucy, Gilberger, Tim Wolf, Hackett, Fiona, Macrae, James, Palma-Duran, Susana Alejandra, Ramaprasad, Abhinay, Sait, Aaron J, Withers-Martinez, Chrislaine",,11.0,eLife,,2022-12-28,journal article,"eLife Sciences Publications, Ltd",,omid:br/06320153828,doi:10.7554/elife.82207,,,2022.0,12.0,28.0
omid:br/06320152524 doi:10.1016/j.ijnsa.2023.100132,Efficacy Of Behavioural Activation In The Treatment Of Negative Symptoms In People With Schizophrenia Spectrum Disorders: A Systematic Review,"Brown, Ellie, Dan Bressington,, Dennis, Shaun, Drummond, Joanne, Gray, Richard, Grimshaw, Marcus, Jones, Martin, Muyambi, Kuda, Walsh, Sandra",,5.0,International Journal Of Nursing Studies Advances,100132-100132,2023-12,journal article,Elsevier Bv,,omid:br/06320152524,doi:10.1016/j.ijnsa.2023.100132,,,2023.0,12.0,1.0
omid:br/06320152648 doi:10.1016/j.trgeo.2023.101073,Theoretical Modeling Of The Pre-Cutting System Performance For The Tunnel Face Stability In Very Weak Rock Masses,"Ajirlou, Vahdat Samandar, Oreste, Pierpaolo, Ranjbarnia, Masoud",,42.0,Transportation Geotechnics,101073-101073,2023-09,journal article,Elsevier Bv,,omid:br/06320152648,doi:10.1016/j.trgeo.2023.101073,,,2023.0,9.0,1.0
omid:br/06320152452 doi:10.3389/fmicb.2023.1216591,Metabolic Versatility Of Caldarchaeales From Geothermal Features Of Hawaii And Chile As Revealed By Five Metagenome-Assembled Genomes,"Balbay, Manolya Gul, Cady, Sherry L., Chain, Patrick S. G., Cockell, Charles, Decho, Alan W., Donachie, Stuart P., Lim, Darlene S. S., Prescott, Rebecca D., Saw, Jimmy H., Shlafstein, Maximillian D.",,14.0,Frontiers In Microbiology,,2023-09-20,journal article,Frontiers Media Sa,,omid:br/06320152452,doi:10.3389/fmicb.2023.1216591,,,2023.0,9.0,20.0
omid:br/06320152064 doi:10.3389/fmicb.2023.1130891,Tell Me If You Prefer Bovine Or Poultry Sectors And Ill Tell You Who You Are: Characterization Of Salmonella Enterica Subsp. Enterica Serovar Mbandaka In France,"Baug, Louise, Bonifait, Laetitia, Cadel-Six, Sabrina, De Sousa Violante, Madeleine, Feurer, Carole, Mallet, Ludovic, Michel, Valrie, Mistou, Michel-Yves, Perrin-Guyomard, Agns, Radomski, Nicolas, Romero, Karol",,14.0,Frontiers In Microbiology,,2023-04-06,journal article,Frontiers Media Sa,,omid:br/06320152064,doi:10.3389/fmicb.2023.1130891,,,2023.0,4.0,6.0
omid:br/06320152032 doi:10.3389/fmicb.2023.1071039,Genomic Diversity And Metabolic Potential Of Marine Pseudomonadaceae,"Baudart, Julia, De Mot, Ren, Girard, La, Lood, Cdric, Van Noort, Vera",,14.0,Frontiers In Microbiology,,2023-04-06,journal article,Frontiers Media Sa,,omid:br/06320152032,doi:10.3389/fmicb.2023.1071039,,,2023.0,4.0,6.0
omid:br/06320152232 doi:10.3389/fmicb.2022.1106265,"Propanol And 1, 3-Propanediol Enhance Fatty Acid Accumulation Synergistically In Schizochytrium ATCC 20888","Chen, Lei, Guo, Pengfei, Wang, Fangzhong, Wang, Tiantian, Wu, Yawei, Zeng, Lei, Zhang, Weiwen",,13.0,Frontiers In Microbiology,,2023-02-09,journal article,Frontiers Media Sa,,omid:br/06320152232,doi:10.3389/fmicb.2022.1106265,,,2023.0,2.0,9.0
